Player,Club,POS,GP,GS,MINS,G,A,SHTS,SOG,FC,FS,OFF,YC,RC,Year
Roy Lassiter,TB ,F,30,30,2580,27,4,76,49,20,39,70,2,0,1996
Raul Diaz Arce,DC ,F,28,28,2351,23,2,100,49,32,26,35,6,1,1996
Eduardo Hurtado,LA ,F,26,26,2323,21,7,87,56,48,26,25,5,0,1996
Preki,KC ,M,32,32,2880,18,13,140,61,26,44,7,3,0,1996
Brian McBride,CLB,F,28,28,2307,17,3,79,44,21,46,10,0,0,1996
Steve Rammel,DC ,F,26,20,1649,14,3,54,32,27,42,20,4,0,1996
Vitalis Takawira,KC ,F,28,25,2233,13,7,70,48,35,42,44,0,1,1996
Paul Bravo,SJ ,M,31,31,2654,13,5,58,29,36,69,30,2,0,1996
Jason Kreis,DAL,M,31,29,2564,13,5,90,41,38,48,7,4,0,1996
Giovanni Savarese,MET,F,26,15,1576,13,1,49,32,27,22,38,1,0,1996
Pete Marino,CLB,F,29,18,1700,11,4,52,36,41,34,28,0,0,1996
Jean Harbor,COL,F,29,27,2111,11,4,61,33,43,39,24,3,1,1996
Joe-Max Moore,NE ,F,14,14,1238,11,1,36,19,20,24,16,2,0,1996
Eric Wynalda,SJ ,F,27,26,2326,10,13,68,38,39,55,40,6,0,1996
Eduardo Espinoza,SJ ,F,26,26,2310,10,5,54,30,33,49,35,5,1,1996
Mark Chung,KC ,M,32,32,2847,8,9,81,40,35,69,4,0,0,1996
Shaun Bartlett,COL,F,26,26,2252,8,7,88,39,25,32,27,5,0,1996
Giuseppe Galderisi,NE ,F,25,22,1961,7,8,57,25,32,89,22,5,0,1996
Cobi Jones,LA ,M,28,27,2375,7,4,48,24,26,76,15,2,0,1996
Steve Ralston,TB ,M,31,31,2762,7,2,24,12,25,33,4,1,0,1996
Marcelo Balboa,COL,D,18,16,1525,7,2,28,14,15,22,4,2,0,1996
Adrian Paz,CLB,M,27,19,1802,6,10,48,25,36,54,36,1,0,1996
Alberto Naveda,NE ,F,25,20,1734,6,7,65,35,51,60,3,8,0,1996
Harut Karapetyan,LA ,F,28,23,1860,6,6,62,30,27,27,16,1,0,1996
Hugo Sanchez,DAL,F,23,21,1708,6,3,40,23,27,36,9,6,1,1996
Maurice Johnston,KC ,M-F,29,29,2573,6,3,54,28,34,24,23,4,0,1996
Antony De Avila,MET,F,8,7,650,6,2,20,13,19,9,6,1,0,1996
Mauricio Cienfuegos,LA ,M,28,27,2405,5,11,47,26,24,46,17,6,0,1996
Gerell Elliott,DAL,F,20,16,1523,5,7,43,24,15,25,20,0,0,1996
Martin Vasquez,TB ,M,31,31,2700,5,6,51,25,49,36,2,5,0,1996
Brian Maisonneuve,CLB,M,15,13,1209,5,2,22,12,24,27,2,1,0,1996
John Kerr,DAL,F,19,16,1404,5,2,29,14,21,19,11,1,0,1996
A.J. Wood,MET,F,21,13,1136,5,2,34,22,17,25,4,0,0,1996
Steve Trittschuh,COL,D,32,32,2880,5,2,45,20,51,31,1,2,0,1996
Diego Viera,TB ,F,17,6,774,5,0,17,10,21,12,10,3,1,1996
Marco Etcheverry,DC ,M,26,23,2144,4,19,51,30,36,50,4,7,0,1996
Carlos Valderrama,TB ,M,23,23,2059,4,17,24,12,10,40,3,0,0,1996
Tony Sanneh,DC ,D,25,24,2047,4,8,32,19,55,20,5,4,0,1996
Mike Sorber,KC ,M,23,23,1960,4,6,34,12,29,27,2,2,0,1996
Darren Sawatzky,NE ,F,28,19,1776,4,5,41,22,25,8,16,1,0,1996
Miles Joseph,MET,M,24,23,1927,4,4,27,19,26,28,7,3,0,1996
Brian Haynes,DAL,M,26,23,1983,4,3,29,16,26,40,3,1,0,1996
Paul Keegan,NE ,F,27,20,1844,4,3,30,18,40,40,16,4,0,1996
Rob Johnson,MET,F,18,12,1136,4,3,34,16,27,17,9,2,0,1996
Marcelo Carrera,CLB,F,30,12,1339,4,2,26,16,15,36,2,0,0,1996
Washington Rodriguez,DAL,M-F,14,9,806,4,2,28,16,16,18,7,2,1,1996
Greg Vanney,LA ,D,29,24,2236,4,1,31,13,30,11,1,2,0,1996
Tab Ramos,MET,M,25,25,2158,3,10,44,20,28,75,11,11,1,1996
Roberto Donadoni,MET,M,17,17,1530,3,8,34,13,10,37,1,1,0,1996
John Harkes,DC ,M,29,28,2469,3,8,44,26,31,47,8,4,0,1996
Chris Henderson,COL,M,29,29,2544,3,8,58,29,36,40,16,4,0,1996
John Doyle,SJ ,D,30,30,2652,3,6,27,13,59,37,3,6,1,1996
Ivan McKinley,TB ,D-M,26,25,2168,3,6,31,13,41,22,3,11,0,1996
Welton,NE ,F,29,20,1909,3,6,34,15,30,62,25,3,0,1996
Leonel Alvarez,DAL,M,22,22,1959,3,5,22,14,35,32,3,14,2,1996
Scott Benedetti,COL,F,32,32,2815,3,5,44,14,42,72,4,1,0,1996
Jaime Moreno,DC ,F,9,9,700,3,3,21,9,14,17,8,0,0,1996
Geoff Aunger,NE ,D,29,26,2397,3,3,27,8,66,34,2,10,0,1996
Paul Caligiuri,CLB,D,22,21,1869,3,2,15,5,24,22,1,2,1,1996
Mark Semioli,LA ,D,28,27,2475,3,2,21,14,41,46,4,5,0,1996
Doctor Khumalo,CLB,M,25,23,1930,3,2,25,13,24,48,9,2,0,1996
