year,country,country_x,biofuel_consumption,hydro_consumption,other_renewable_consumption,renewables_consumption,solar_consumption,wind_consumption,latitude,longitude
1990,AUS,Australia,0.0,40.999,2.11,43.108,0.0,0.0,-27.0,133.0
1991,AUS,Australia,0.0,43.482,1.999,45.496,0.015,0.0,-27.0,133.0
1992,AUS,Australia,0.0,44.282,1.861,46.177,0.034,0.0,-27.0,133.0
1993,AUS,Australia,0.0,45.519,1.861,47.427,0.041,0.006,-27.0,133.0
1994,AUS,Australia,0.0,44.861,1.935,46.859,0.048,0.015,-27.0,133.0
1995,AUS,Australia,0.0,43.419,2.293,45.791,0.059,0.019,-27.0,133.0
1996,AUS,Australia,0.0,44.357,2.629,47.077,0.071,0.019,-27.0,133.0
1997,AUS,Australia,0.0,44.313,2.769,47.188,0.085,0.021,-27.0,133.0
1998,AUS,Australia,0.0,43.883,3.003,47.035,0.099,0.05,-27.0,133.0
1999,AUS,Australia,0.0,45.226,3.149,48.607,0.113,0.119,-27.0,133.0
2000,AUS,Australia,0.0,45.74,2.471,48.713,0.13,0.372,-27.0,133.0
2001,AUS,Australia,0.0,44.497,2.201,47.639,0.149,0.792,-27.0,133.0
2002,AUS,Australia,0.0,44.131,3.473,49.228,0.16,1.463,-27.0,133.0
2003,AUS,Australia,0.0,44.163,4.609,50.863,0.172,1.918,-27.0,133.0
2004,AUS,Australia,0.0,42.464,7.621,52.434,0.197,2.152,-27.0,133.0
2005,AUS,Australia,0.08,41.601,10.413,55.814,0.226,3.494,-27.0,133.0
2006,AUS,Australia,0.946,39.948,10.511,57.445,0.261,5.779,-27.0,133.0
2007,AUS,Australia,3.608,34.661,11.355,57.503,0.302,7.576,-27.0,133.0
2008,AUS,Australia,8.652,31.189,9.757,59.095,0.367,9.129,-27.0,133.0
2009,AUS,Australia,12.698,33.166,7.311,65.578,0.761,11.642,-27.0,133.0
2010,AUS,Australia,19.16,35.841,6.366,76.914,2.549,12.998,-27.0,133.0
2011,AUS,Australia,20.221,50.72,6.67,99.578,5.298,16.668,-27.0,133.0
2012,AUS,Australia,18.007,43.881,7.979,95.977,6.213,19.898,-27.0,133.0
2013,AUS,Australia,17.071,48.872,8.53,108.028,9.85,23.705,-27.0,133.0
2014,AUS,Australia,16.366,36.861,9.025,99.736,12.602,24.882,-27.0,133.0
2015,AUS,Australia,14.863,35.632,9.305,105.449,15.701,29.949,-27.0,133.0
2016,AUS,Australia,12.685,44.338,9.187,117.766,18.798,32.759,-27.0,133.0
2017,AUS,Australia,14.323,33.755,8.827,112.287,22.394,32.988,-27.0,133.0
2018,AUS,Australia,15.849,43.136,8.834,139.126,30.519,40.789,-27.0,133.0
1990,CAN,Canada,0.0,821.343,10.983,832.332,0.0,0.005,60.0,-95.0
1991,CAN,Canada,0.0,853.545,11.067,864.617,0.0,0.005,60.0,-95.0
1992,CAN,Canada,0.0,875.486,12.403,888.058,0.006,0.164,60.0,-95.0
1993,CAN,Canada,0.0,895.039,13.381,908.589,0.006,0.164,60.0,-95.0
1994,CAN,Canada,0.0,910.711,15.925,926.805,0.006,0.164,60.0,-95.0
1995,CAN,Canada,0.0,927.944,19.827,947.946,0.011,0.164,60.0,-95.0
1996,CAN,Canada,0.0,984.979,20.913,1006.08,0.016,0.172,60.0,-95.0
1997,CAN,Canada,0.0,968.555,22.69,991.436,0.019,0.172,60.0,-95.0
1998,CAN,Canada,0.0,919.084,24.965,944.249,0.028,0.172,60.0,-95.0
1999,CAN,Canada,0.0,958.336,24.842,983.665,0.037,0.45,60.0,-95.0
2000,CAN,Canada,0.0,991.001,24.77,1016.55,0.046,0.733,60.0,-95.0
2001,CAN,Canada,0.0,914.913,26.693,942.567,0.054,0.908,60.0,-95.0
2002,CAN,Canada,0.0,957.689,27.546,986.408,0.062,1.11,60.0,-95.0
2003,CAN,Canada,0.0,915.765,25.656,943.363,0.062,1.88,60.0,-95.0
2004,CAN,Canada,0.0,916.047,26.541,945.185,0.039,2.558,60.0,-95.0
2005,CAN,Canada,0.0,973.616,24.624,1002.464,0.05,4.175,60.0,-95.0
2006,CAN,Canada,5.091,943.253,23.89,978.838,0.061,6.543,60.0,-95.0
